supporting_docs,query_length,entity_count,entities,has_comparison,has_inference,complexity_score,complexity_level,index
2,58,6,[],True,False,1.0,high,0
2,102,11,[],False,False,0.8999999999999999,high,1
2,151,17,[],False,False,0.8999999999999999,high,2
2,79,8,[],True,False,1.0,high,3
2,83,10,[],False,False,0.8,high,4
2,79,9,[],False,False,0.8,high,5
2,106,10,[],False,False,0.8999999999999999,high,6
2,88,11,[],False,True,1.0,high,7
2,47,5,[],True,False,0.8999999999999999,high,8
2,56,6,[],False,False,0.8,high,9
2,161,17,[],False,False,0.8999999999999999,high,10
2,99,11,[],False,False,0.8,high,11
2,124,14,[],False,False,0.8999999999999999,high,12
2,68,8,[],False,False,0.8,high,13
2,97,11,[],False,False,0.8,high,14
2,88,9,[],False,True,1.0,high,15
2,126,15,[],False,False,0.8999999999999999,high,16
2,61,7,[],False,False,0.8,high,17
2,146,15,[],False,False,0.8999999999999999,high,18
2,69,9,[],False,False,0.8,high,19
2,112,14,[],False,False,0.8999999999999999,high,20
2,63,8,[],False,False,0.8,high,21
2,125,15,[],False,False,0.8999999999999999,high,22
2,94,10,[],False,False,0.8,high,23
2,74,7,[],False,False,0.8,high,24
2,76,7,[],False,False,0.8,high,25
2,162,19,[],False,False,0.8999999999999999,high,26
2,56,5,[],False,False,0.8,high,27
2,132,12,[],False,False,0.8999999999999999,high,28
2,93,8,[],False,False,0.8,high,29
2,54,7,[],False,False,0.8,high,30
2,78,9,[],False,False,0.8,high,31
2,57,6,[],False,False,0.8,high,32
2,77,6,[],False,False,0.8,high,33
2,65,8,[],True,False,1.0,high,34
2,110,10,[],False,False,0.8999999999999999,high,35
2,109,13,[],True,False,1.0,high,36
2,103,10,[],False,False,0.8999999999999999,high,37
2,92,10,[],False,False,0.8,high,38
2,89,9,[],False,False,0.8,high,39
2,100,11,[],False,False,0.8999999999999999,high,40
2,90,9,[],False,False,0.8,high,41
2,138,16,[],False,False,0.8999999999999999,high,42
2,78,9,[],False,False,0.8,high,43
2,149,16,[],False,False,0.8999999999999999,high,44
2,103,12,[],False,False,0.8999999999999999,high,45
2,125,11,[],False,False,0.8999999999999999,high,46
2,58,7,[],False,False,0.8,high,47
2,46,5,[],False,False,0.7,high,48
2,116,12,[],False,False,0.8999999999999999,high,49
2,179,19,[],False,False,0.8999999999999999,high,50
2,95,8,[],False,True,1.0,high,51
2,64,9,[],False,False,0.8,high,52
2,92,10,[],False,False,0.8,high,53
2,82,11,[],False,False,0.8,high,54
2,157,18,[],True,False,1.0,high,55
2,54,6,[],False,False,0.8,high,56
2,48,5,[],True,False,0.8999999999999999,high,57
2,97,9,[],False,False,0.8,high,58
2,34,4,[],False,False,0.6000000000000001,medium,59
2,173,18,[],False,False,0.8999999999999999,high,60
2,100,10,[],False,False,0.8999999999999999,high,61
2,50,6,[],False,False,0.8,high,62
2,95,12,[],False,False,0.8,high,63
2,118,12,[],False,True,1.0,high,64
2,91,11,[],False,False,0.8,high,65
2,106,12,[],True,False,1.0,high,66
2,171,19,[],False,False,0.8999999999999999,high,67
2,71,7,[],True,False,1.0,high,68
2,137,15,[],False,True,1.0,high,69
2,166,19,[],False,False,0.8999999999999999,high,70
2,78,8,[],False,False,0.8,high,71
2,122,12,[],False,False,0.8999999999999999,high,72
2,111,12,[],False,False,0.8999999999999999,high,73
2,96,10,[],False,False,0.8,high,74
2,94,10,[],False,False,0.8,high,75
2,81,9,[],False,False,0.8,high,76
2,76,9,[],False,False,0.8,high,77
2,74,9,[],False,False,0.8,high,78
2,67,8,[],False,False,0.8,high,79
2,84,9,[],False,False,0.8,high,80
2,133,16,[],False,False,0.8999999999999999,high,81
2,107,11,[],False,False,0.8999999999999999,high,82
2,147,16,[],False,False,0.8999999999999999,high,83
2,149,17,[],False,False,0.8999999999999999,high,84
2,138,13,[],False,False,0.8999999999999999,high,85
2,89,11,[],False,False,0.8,high,86
2,66,8,[],False,False,0.8,high,87
2,69,8,[],False,True,1.0,high,88
2,55,7,[],False,False,0.8,high,89
2,69,7,[],False,False,0.8,high,90
2,79,10,[],False,False,0.8,high,91
2,87,11,[],False,False,0.8,high,92
2,54,6,[],False,False,0.8,high,93
2,144,15,[],False,False,0.8999999999999999,high,94
2,42,5,[],False,False,0.7,high,95
2,76,8,[],False,False,0.8,high,96
2,71,7,[],False,False,0.8,high,97
2,95,8,[],False,False,0.8,high,98
