Metric,K=1,K=3,K=5,K=10,K=20,K=50,Value
Recall@K,0.054044564483457125,0.06626378573036237,0.06885662840423136,0.07083727211343686,0.07212018906144496,0.07299797434166104,
Precision@K,0.10641458474004051,0.0437542201215395,0.027278865631330182,0.014017555705604322,0.00712356515867657,0.0028818365968939904,
MRR,,,,,,,0.11246364631372847
NDCG,,,,,,,0.07741433096706578
MAP,,,,,,,0.06409555874786695
Hit Rate,,,,,,,0.12316002700877786
Title Recall,,,,,,,0.07116812964213369
Title Precision,,,,,,,0.0028972457785810496
Exact Match,,,,,,,0.0
F1 Score,,,,,,,0.041212279269858446
Semantic Similarity,,,,,,,0.5163180221907714
