Metric,K=1,K=3,K=5,K=10,K=20,K=50,Value
Recall@K,0.1511402871995631,0.26918229821328676,0.30940680176858615,0.35602878980169483,0.40048728462368527,0.45264292232766273,
Precision@K,0.7675894665766374,0.4836821967139321,0.34171505739365293,0.2020931802835922,0.11603646185010129,0.05361782579338286,
MRR,,,,,,,0.8313557157632917
NDCG,,,,,,,0.4683353376697908
MAP,,,,,,,0.30533791591347487
Hit Rate,,,,,,,0.9347738014854828
Title Recall,,,,,,,0.8072923700202566
Title Precision,,,,,,,0.03693793713472715
Exact Match,,,,,,,0.0037817396002160996
F1 Score,,,,,,,0.056925371014524544
Semantic Similarity,,,,,,,0.5163828080043441
