Metric,K=1,K=3,K=5,K=10,K=20,K=50,Value
Recall@K,0.07191087103308576,0.21890614449696152,0.3515192437542201,0.5630654962862931,0.6434841323430115,0.6548953409858204,
Precision@K,0.14382174206617152,0.145937429664641,0.14060769750168806,0.11261309925725863,0.06434841323430114,0.026195813639432818,
Recall提升率(%),-28.089128966914245,118.9061444969615,251.51924375422004,463.06549628629307,543.4841323430115,554.8953409858203,
MRR,,,,,,,0.3278021385815216
NDCG,,,,,,,0.37164269913596054
MAP,,,,,,,0.2335955546645741
Hit Rate,,,,,,,0.7958136394328157
Title Recall,,,,,,,0.6558406482106685
Title Precision,,,,,,,0.15144399605402747
图谱覆盖率,,,,,,,7.791859574854526e-05
平均扩展实体数,,,,,,,70.0559081701553
平均扩展边数,,,,,,,72.23214044564483
Exact Match (EM),,,,,,,0.2920999324780554
F1 Score,,,,,,,0.41646295384300364
Semantic Similarity,,,,,,,0.6987884133522515
